Index,NumMatches,NumInliers,MaxAge,pose00,pose01,pose02,pose03,pose10,pose11,pose12,pose13,pose20,pose21,pose22,pose23,pose30,pose31,pose32,pose33,motion00,motion01,motion02,motion03,motion10,motion11,motion12,motion13,motion20,motion21,motion22,motion23,motion30,motion31,motion32,motion33,errorR,errorT,errorM,motion,gtMotion
18,311,167,11,0.930708,-0.0309286,0.364452,0,0.0255022,0.999481,0.0196938,0,-0.364872,-0.00903483,0.931014,0,-0.883228,-0.139649,2.68255,1,0.999398,0.00371618,-0.0344907,0,-0.00373219,0.999993,-0.000399917,0,0.034489,0.000528403,0.999405,0,0.0536094,0.0075019,-0.202852,1,0.487788,0.122424,0.0257697,0.20995,0.224152
19,355,174,18,0.917426,-0.0345655,0.396402,0,0.0278854,0.999356,0.0226044,0,-0.396928,-0.00968404,0.917799,0,-1.01655,-0.122363,2.85472,1,0.999395,0.00328282,-0.0346306,0,-0.00334461,0.999993,-0.00172661,0,0.0346246,0.00184139,0.999399,0,0.054667,-0.0174488,-0.210768,1,0.559531,0.128582,0.0249011,0.21844,0.231587
20,344,213,13,0.901762,-0.034402,0.430862,0,0.0266349,0.999356,0.0240484,0,-0.431412,-0.01021,0.902097,0,-1.139,-0.103853,3.03031,1,0.999284,-0.000574921,-0.0378421,0,0.000505573,0.999998,-0.00184211,0,0.0378431,0.00182166,0.999282,0,0.0353966,-0.0194595,-0.211037,1,0.567862,0.130397,0.0248265,0.214868,0.234406
21,322,143,14,0.882839,-0.0288784,0.468786,0,0.0194997,0.999501,0.024849,0,-0.46927,-0.0127964,0.882962,0,-1.2285,-0.107142,3.20123,1,0.999087,-0.00609428,-0.0422949,0,0.0059281,0.999974,-0.00405332,0,0.0423185,0.00379889,0.999097,0,-0.00120185,0.000786165,-0.192958,1,0.557429,0.147371,0.054016,0.192963,0.236349
22,315,174,10,0.861253,-0.0236654,0.507625,0,0.0135195,0.999629,0.0236649,0,-0.507997,-0.0135186,0.861253,0,-1.3334,-0.13315,3.36418,1,0.998999,-0.00583831,-0.0443459,0,0.00575454,0.999981,-0.00201645,0,0.0443568,0.00175924,0.999014,0,0.00701513,0.0235601,-0.193981,1,0.556023,0.19225,0.0586525,0.195532,0.241836
23,344,185,12,0.836446,-0.02505,0.547476,0,0.0191085,0.99968,0.0165463,0,-0.547716,-0.00337861,0.836658,0,-1.50422,-0.175013,3.55512,1,0.998897,0.00119873,-0.046933,0,-0.000776335,0.999959,0.00901723,0,0.0469419,-0.00897085,0.998857,0,0.0372913,0.0419541,-0.25345,1,0.26393,0.208321,0.0400963,0.259591,0.25131
24,335,143,13,0.807876,-0.0320662,0.588479,0,0.0275995,0.999482,0.0165725,0,-0.588706,0.00285316,0.808343,0,-1.736,-0.156762,3.76509,1,0.998727,0.00712159,-0.0499437,0,-0.00688148,0.999964,0.00497802,0,0.0499774,-0.00462799,0.99874,0,0.064277,-0.0153234,-0.30623,1,0.310274,0.16011,0.0544273,0.313278,0.263252
25,353,138,18,0.775656,-0.0380942,0.630005,0,0.0336244,0.999253,0.0190234,0,-0.63026,0.00642789,0.776358,0,-1.93175,-0.171923,3.90864,1,0.998601,0.00631697,-0.0525077,0,-0.006226,0.999979,0.00189593,0,0.0525186,-0.00156636,0.998619,0,0.0608138,0.019,-0.234727,1,0.465622,0.18915,0.0307307,0.24322,0.267723
26,379,185,19,0.739405,-0.0363601,0.672278,0,0.0316765,0.999314,0.0192083,0,-0.672515,0.00709273,0.740049,0,-2.13901,-0.171828,4.09086,1,0.998448,-0.00139667,-0.0556756,0,0.00131814,0.999998,-0.00144718,0,0.0556775,0.00137155,0.998448,0,0.030759,0.0029704,-0.274236,1,0.325057,0.178875,0.019526,0.275971,0.274627
27,376,145,20,0.698453,-0.0252476,0.71521,0,0.0236658,0.999646,0.0121772,0,-0.715264,0.00842081,0.698804,0,-2.34126,-0.166931,4.29975,1,0.998178,-0.0106622,-0.0593855,0,0.0106323,0.999943,-0.000819226,0,0.0593909,0.000186329,0.998235,0,-0.0080166,-0.00265259,-0.290675,1,0.121947,0.159006,0.049639,0.290797,0.282079
28,395,158,15,0.653671,-0.0190171,0.75654,0,0.0190487,0.999781,0.00867288,0,-0.756539,0.00874187,0.65389,0,-2.56284,-0.170063,4.48746,1,0.998124,-0.00573453,-0.0609598,0,0.00567176,0.999983,-0.00120278,0,0.0609656,0.000854775,0.998139,0,0.00276963,0.00572458,-0.290349,1,0.296075,0.163212,0.0393712,0.290418,0.29394
29,368,233,16,0.606969,-0.0149165,0.794585,0,0.0182958,0.999821,0.00479346,0,-0.794515,0.0116281,0.607134,0,-2.81584,-0.15714,4.67654,1,0.998177,-0.00342783,-0.0602509,0,0.0035401,0.999992,0.00175669,0,0.0602444,-0.00196678,0.998182,0,0.00351098,-0.00919831,-0.315964,1,0.475601,0.154382,0.0459735,0.316118,0.303844
30,365,181,17,0.560434,-0.0113941,0.828121,0,0.0194199,0.999811,0.000613958,0,-0.827972,0.0157379,0.560549,0,-3.09376,-0.147266,4.8047,1,0.998349,-0.00263853,-0.0573842,0,0.00283104,0.999991,0.0032737,0,0.057375,-0.00343075,0.998347,0,0.0497417,-0.00455405,-0.3021,1,0.434312,0.156222,0.0147265,0.306201,0.317375
31,344,165,13,0.508712,-0.00958384,0.860883,0,0.0201253,0.999797,-0.000762096,0,-0.860702,0.0177132,0.508802,0,-3.39874,-0.118565,4.95393,1,0.998124,-0.00074406,-0.0612186,0,0.000825652,0.999999,0.00130751,0,0.0612176,-0.0013556,0.998124,0,0.026949,-0.0224433,-0.33893,1,0.478063,0.138164,0.0365667,0.34074,0.326682
32,311,163,14,0.454934,-0.00764179,0.890492,0,0.0223947,0.999745,-0.00286167,0,-0.890244,0.0212442,0.454989,0,-3.71951,-0.0993526,5.08015,1,0.998114,-0.000652477,-0.0613885,0,0.000836792,0.999995,0.00297677,0,0.0613862,-0.00302253,0.99811,0,0.033672,-0.011663,-0.343404,1,0.583498,0.1314,0.0231598,0.345248,0.337269
33,317,149,10,0.399863,-0.00648417,0.916552,0,0.027563,0.999608,-0.00495312,0,-0.916161,0.0272435,0.399885,0,-4.05836,-0.0838173,5.19145,1,0.998143,0.000489848,-0.0609067,0,-0.000150562,0.999984,0.00557505,0,0.0609084,-0.00555553,0.998128,0,0.0335818,-0.00563816,-0.355372,1,0.680701,0.13258,0.0177693,0.357,0.353571
34,299,149,9,0.345345,-0.00480126,0.938463,0,0.0331661,0.999425,-0.00709165,0,-0.93789,0.0335743,0.345306,0,-4.42934,-0.0907234,5.2605,1,0.998272,0.000281576,-0.0587541,0,7.10573e-05,0.999982,0.00599967,0,0.0587548,-0.00599348,0.998254,0,0.0632896,0.019696,-0.371554,1,0.805515,0.122635,0.021727,0.37742,0.366167
35,299,159,12,0.288877,-0.000339273,0.957366,0,0.0408176,0.999095,-0.0119623,0,-0.956496,0.042533,0.288629,0,-4.82011,-0.0833915,5.35431,1,0.998217,-0.00192691,-0.0596576,0,0.00245252,0.999959,0.00873848,0,0.0596383,-0.00886921,0.998181,0,0.0230702,0.00974719,-0.401157,1,1.09146,0.117786,0.0290207,0.401938,0.382964
36,296,144,13,0.234177,0.00789844,0.972162,0,0.0460322,0.998755,-0.0192029,0,-0.971104,0.0492476,0.233522,0,-5.23006,-0.0806548,5.44076,1,0.998361,-0.00542541,-0.0569796,0,0.00582057,0.99996,0.00677144,0,0.0569405,-0.00709199,0.998352,0,0.0119411,0.0177977,-0.418428,1,1.37259,0.118531,0.0353876,0.418977,0.392643
37,295,150,12,0.184302,0.0113249,0.982804,0,0.0477041,0.998652,-0.0204532,0,-0.981711,0.0506533,0.183513,0,-5.61448,-0.0919711,5.46174,1,0.998694,-0.000824849,-0.05109,0,0.000921896,0.999998,0.00187599,0,0.0510884,-0.00192063,0.998692,0,0.0503618,0.0300685,-0.380666,1,1.37857,0.126114,0.0305616,0.385159,0.404107
38,288,164,6,0.138165,0.010688,0.990352,0,0.0513992,0.998517,-0.0179469,0,-0.989075,0.0533829,0.13741,0,-6.03083,-0.109547,5.46571,1,0.998907,0.00314274,-0.0466358,0,-0.00299126,0.99999,0.00331756,0,0.0466458,-0.00317444,0.998906,0,0.0537769,0.0390212,-0.411407,1,1.4783,0.138002,0.0294395,0.416738,0.421248
39,271,129,13,0.0970537,0.00992113,0.99523,0,0.0526904,0.998497,-0.015092,0,-0.993883,0.0539037,0.0963851,0,-6.47979,-0.0920271,5.46129,1,0.999143,0.00300551,-0.0412884,0,-0.00296637,0.999995,0.00100919,0,0.0412913,-0.000885849,0.999147,0,0.0477946,0.00609557,-0.446734,1,1.51827,0.121843,0.0177306,0.449324,0.437071
40,260,114,15,0.0586786,0.010518,0.998222,0,0.0501853,0.998649,-0.0134726,0,-0.997015,0.0508866,0.0580715,0,-6.90723,-0.0843681,5.46094,1,0.999259,0.00137008,-0.0384646,0,-0.00147115,0.999996,-0.00259939,0,0.0384609,0.00265405,0.999257,0,0.0253572,0.0137978,-0.426534,1,1.5162,0.141206,0.0232936,0.42751,0.45027
41,274,164,16,0.02396,0.0125704,0.999634,0,0.0429316,0.998986,-0.0135913,0,-0.998791,0.0432415,0.023396,0,-7.36889,-0.0427547,5.45739,1,0.999394,-0.000540593,-0.0347984,0,0.000288232,0.999974,-0.00725669,0,0.0348014,0.00724226,0.999368,0,0.0140832,-0.0217999,-0.462811,1,1.37231,0.128804,0.0331416,0.463538,0.464635
42,271,111,10,-0.00782952,0.0137709,0.999875,0,0.0369224,0.999227,-0.0134728,0,-0.999287,0.0368123,-0.00833192,0,-7.82437,-0.0508339,5.43832,1,0.999494,-2.25279e-05,-0.0318091,0,-0.00016882,0.999982,-0.00601282,0,0.0318086,0.00601515,0.999476,0,0.0156086,0.0246335,-0.455016,1,1.27779,0.154121,0.0262639,0.45595,0.477514
43,249,122,7,-0.0344688,0.0148553,0.999295,0,0.0336459,0.99934,-0.0136954,0,-0.998839,0.0331501,-0.0349459,0,-8.31005,-0.0552735,5.40686,1,0.999644,-0.000195383,-0.0266646,0,0.000107848,0.999995,-0.0032842,0,0.0266651,0.00328015,0.999639,0,0.0147656,0.0203471,-0.486073,1,1.31641,0.168298,0.0153272,0.486722,0.495543
44,281,131,9,-0.0551901,0.0140288,0.998377,0,0.0290265,0.999501,-0.01244,0,-0.998054,0.0282928,-0.0555697,0,-8.82986,-0.0416432,5.35674,1,0.999785,0.00141617,-0.0207085,0,-0.0015106,0.999989,-0.00454525,0,0.0207019,0.00457556,0.999775,0,0.0211605,0.000841315,-0.521972,1,1.25023,0.155053,0.0140046,0.522401,0.510299
45,241,97,15,-0.0721001,0.0163629,0.997263,0,0.0266546,0.99954,-0.0144731,0,-0.997041,0.0255381,-0.0725031,0,-9.34769,-0.00610917,5.31604,1,0.999854,-0.00189838,-0.0170004,0,0.00185592,0.999995,-0.00251324,0,0.0170051,0.00248132,0.999852,0,0.00266999,-0.0223043,-0.520151,1,1.35046,0.154151,0.0262094,0.520636,0.529582
46,266,127,10,-0.0855421,0.0179372,0.996173,0,0.0284831,0.999473,-0.0155508,0,-0.995927,0.0270439,-0.0860079,0,-9.88726,-0.00237679,5.2639,1,0.999908,-0.00120764,-0.0135236,0,0.00123115,0.999998,0.00173018,0,0.0135215,-0.00174667,0.999907,0,0.00571773,0.0108274,-0.541959,1,1.38706,0.158983,0.00605612,0.542097,0.545264
47,252,137,17,-0.0943834,0.0162706,0.995403,0,0.0306517,0.99944,-0.0134302,0,-0.995064,0.0292432,-0.0948292,0,-10.4523,-0.00101042,5.18819,1,0.999959,0.00192639,-0.00882197,0,-0.00190564,0.999995,0.00236,0,0.00882648,-0.00234309,0.999958,0,0.0220131,0.0149372,-0.569478,1,1.34581,0.147726,0.0199244,0.570099,0.55924
48,274,126,18,-0.101625,0.0148176,0.994712,0,0.0332724,0.99938,-0.0114879,0,-0.994266,0.031929,-0.102055,0,-11.015,-0.000182715,5.12587,1,0.999972,0.00168508,-0.00722441,0,-0.00166485,0.999995,0.00280579,0,0.0072291,-0.00279368,0.99997,0,0.00478755,0.0171799,-0.565877,1,1.39998,0.158776,0.011371,0.566158,0.57718
49,298,138,12,-0.106941,0.0170287,0.99412,0,0.0355792,0.999278,-0.0132897,0,-0.993629,0.0339488,-0.107469,0,-11.6025,0.00969946,5.07366,1,0.999983,-0.00202829,-0.0054204,0,0.00203971,0.999996,0.00210191,0,0.00541612,-0.00211293,0.999983,0,-0.0110881,0.0103324,-0.589661,1,1.54586,0.160542,0.0103229,0.589856,0.590059
50,300,155,8,-0.109132,0.0221268,0.993781,0,0.0375992,0.999129,-0.0181169,0,-0.993316,0.0353882,-0.109869,0,-12.2074,0.0300571,5.03041,1,0.999985,-0.00501736,-0.00239438,0,0.00502091,0.999986,0.00148141,0,0.00238691,-0.00149341,0.999996,0,-0.0234837,0.00162051,-0.606335,1,1.71623,0.163517,0.0193775,0.606791,0.607915
